題號,分類狀態,待審,原答案,採計答案或來源衝突,最終採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑轉存PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-108-Q12,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q12.png,c2069b098901863b7a4937ecf1c886ef4f2a141a22bd10376b53d986523ffed0,L1458,23.3 / Gene Flow,,,23.3 / Gene Flow：遷入個體改變族群等位頻率是基因流。,無另列最小次條目；原圖明确15%加85%，加權頻率53%確認；不是51.5%，主基因流。,原表C。遷入者占混合後15%，新頻率=0.15×0.70+0.85×0.50=0.53。假設兩群对後代基因庫的相對貢獻按題示比例且沒有其他作用力，不把族群15%誤當原族群數的15%。,"496,497","545,546",Codex /root,TCU-108-R2-Q12
TCU-108-Q13,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q13.png,c3c7eae3668963f72251ea9c641788903d4b9bc8d93c1c3a95e08f483cb27286,L1774,27.6 / Pathogenic Bacteria,L1709,27.1 / Cell-Surface Structures,27.6 / Pathogenic Bacteria：辨別抗生素打擊病原菌的靶點最直接屬致病細菌與控制。,27.1 / Cell-Surface Structures：細胞壁與膜的差異用於判別β-lactam及quinolone機制。,原表A。Quinolones抑制DNA gyrase／topoisomerase IV等，並非破壞細胞膜；sulfonamides阻葉酸路徑，β-lactams阻細胞壁合成，macrolides作用於細菌核糖體。本地章節未列全部藥物機制，具體靶點另有具名補充。,"574,575,588,589","623,624,637,638",Codex /root,TCU-108-R2-Q13
TCU-108-Q14,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q14.png,c8b38e79f97376cf026cf819b978efc3b5f4e317f9e0d9524efe85e2362d8764,L2927,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance,"L2886,L2902",43.2 / Antigen Recognition by T Cells ; 43.3 / Cytotoxic T Cells: A Response to Infected Host Cells,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance：病毒逃避CTL攻擊的策略是病原體免疫逃避。,43.2 / Antigen Recognition by T Cells：MHC及肽呈現的分子辨識基礎；43.3 / Cytotoxic T Cells: A Response to Infected Host Cells：CTL以MHC I辨識感染細胞的效應機制。,原表B。Invariant chain參與MHC II路線，並非CTL辨識的MHC I專用機制。TAP把細胞質肽送進ER裝載MHC I；病毒可阻TAP或減少MHC I表面呈現。,"959,960,966,967,971,972,973","1008,1009,1015,1016,1020,1021,1022",Codex /root,TCU-108-R2-Q14
TCU-108-Q15,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,4,4,1,,questions/Q15.png,ef77f707d55827faae34f856490fb5a9bb795efbb59a30f1b43853437531e42a,L1042,17.1 / The Genetic Code,L0882,14.2 / The Multiplication and Addition Rules Applied to Monohybrid Crosses,17.1 / The Genetic Code：隨機RNA組成用於密碼子推論，核心是遺傳密碼的破解。,14.2 / The Multiplication and Addition Rules Applied to Monohybrid Crosses：將獨立事件乘法規則移用至三個核苷酸位置的機率。,原表A。按p(A)=0.8、p(C)=0.2，兩C一A的每一排列0.032，兩A一C的每一排列0.128；只能判組成，不能僅由頻率確定次序。原A列CCA與ACA，真實標準碼分別為Pro及Thr，並非題示His與Gln；His為CAU/CAC、Gln為CAA/CAG。本地p341密碼表與題設模型差異完整保留，未把原選項改成科學正確序列。,"277,340,341,342","326,389,390,391",Codex /root,TCU-108-R2-Q15
TCU-108-Q16,FORMAL,False,D,來源衝突：原表D／釋疑文A；最終採計未確認,未確認,正文稱A；理由HDR對應原題D；結果欄維持原答案，來源矛盾未推定最終採計,4,4,1,7,questions/Q16.png,2fa4bdb72e0840cf5777086d53ed26f646224d226910a0ba10db36847e9d1933,L1091,17.5 / Using CRISPR to Edit Genes and Correct Disease-Causing Mutations,L1013,16.2 / Proofreading and Repairing DNA,17.5 / Using CRISPR to Edit Genes and Correct Disease-Causing Mutations：指定位置插入基因涉及CRISPR後同源修復的編輯設計。,16.2 / Proofreading and Repairing DNA：DNA損傷修復原理支援HDR與NHEJ的區別。,原答案表D，D為HDR；同年釋疑理由也說HDR，卻在結尾寫A且結果欄維持原答案。現有來源無法確認最終採計，保留衝突且final_scoring為null。具有同源臂的模板定向插入符合HDR，足以確定分類；NHEJ也能在特定設計下用於插入，不宣稱所有knock-in只能HDR。,"327,328,360,361","376,377,409,410",Codex /root,TCU-108-R2-Q16
TCU-108-Q17,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,4,4,1,,questions/Q17.png,c06cab598b2b8023badd72979a7240ffca4748d54ca9ebee737689a82cd9333e,L0789,12.3 / The Cell Cycle Control System,L0792,12.3 / Loss of Cell Cycle Controls in Cancer Cells,12.3 / The Cell Cycle Control System：CDK、cyclin及抑制蛋白的周轉共同控制細胞週期。,12.3 / Loss of Cell Cycle Controls in Cancer Cells：p53及p21連結DNA損傷與癌細胞週期控制喪失。,原表D。APC/C為E3 ligase；CDK需cyclin且Cdc25可去除抑制性磷酸。p21有p53誘導的轉錄控制，也有泛素依賴與非依賴的蛋白降解。原D說「主要機制」，不是「唯一機制」；僅證明另有路徑不足以排除某情境以泛素降解為主，重要性依細胞與條件而異。同年沒有取得Q17釋疑，不替命題者補造唯一理由。官方D留存，分類是細胞週期多層調控。,"244,245,246,247,248,249,373,374","293,294,295,296,297,298,422,423",Codex /root,TCU-108-R2-Q17
TCU-108-Q18,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,4,4,1,,questions/Q18.png,d7bb0759884bb53c79d36fcc2411abe0eca84680abba810a72e74e97aebf61f4,L0346,6.4 / The Golgi Apparatus: Shipping and Receiving Center,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,6.4 / The Golgi Apparatus: Shipping and Receiving Center：ER至Golgi的運輸是高基氏體接收端的囊泡運輸。,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory：ER是分泌蛋白起始加工與COPII出芽來源。,原表B。COPII負責ER出芽往Golgi；COPI主要從Golgi或中間腔室回收，clathrin用於內吞及轉高基網等，caveolin不屬本題正向分泌包被。,"103,104,105,106","152,153,154,155",Codex /root,TCU-108-R2-Q18
TCU-108-Q19,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,4,4,1,,questions/Q19.png,e5dd81b02a14c35924d84e2f86ee81d959b040e27edef553730b930c853beb9d,L0268,5.4 / Protein Structure and Function,L2714,41.3 / Digestion in the Small Intestine,5.4 / Protein Structure and Function：蛋白質一級序列與肽鍵切斷位置決定片段數。,41.3 / Digestion in the Small Intestine：trypsin與chymotrypsin在小腸蛋白消化中的專一性提供生理背景。,原表D。依原序列的K4、R9、K12作trypsin切點得4段；高專一性chymotrypsin切F8、Y13得3段；CNBr切M5得2段。計算採完全且理想專一切割；低專一性chymotrypsin還可能切L或M，原题未明示實驗條件，結果不是一概適用的實測預測。,"78,79,80,908,909","127,128,129,957,958",Codex /root,TCU-108-R2-Q19
TCU-108-Q20,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,4,4,1,,questions/Q20.png,2d7706ba5b048405008b6772e454c806f79ef302989582067fd4f9301ae9b81d,L0411,7.1 / The Fluidity of Membranes,,,7.1 / The Fluidity of Membranes：脂肪酸尾部不飽和程度影響低溫膜流動性。,無另列最小次條目；原例冬小麥，B不飽和磷脂最直接；膜流動性與細胞水結冰不是同一命題。,原表B。順式不飽和尾的彎折阻礙緊密堆積，低溫時可維持較高膜流動性；這不是保證整個細胞不會結冰。,"128,129","177,178",Codex /root,TCU-108-R2-Q20
TCU-108-Q21,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q21.png,3909688fa2d5b78f1754470134cd99cd582a6a8e6c13231ec225827b86c64ee7,L3160,47.3 / Fate Mapping,L3169,47.3 / Cell Fate Determination and Pattern Formation by Inductive Signals,47.3 / Fate Mapping：辨認四細胞期哪一細胞產生腸道，是細胞譜系追蹤。,47.3 / Cell Fate Determination and Pattern Formation by Inductive Signals：P2對EMS誘導與譜系來源的區別是容易混淆的次要機制。,原表C。四細胞為ABa、ABp、EMS、P2；EMS後分MS與E，E為腸道祖細胞。P2可提供誘導訊號，但不等於P2的後代就是腸道。,"1058,1059,1061,1062,1063","1107,1108,1110,1111,1112",Codex /root,TCU-108-R2-Q21
TCU-108-Q22,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q22.png,f91d055c3335e1faf5e220e248b1927d3fdf026fe226c5eee70d0815606e87e3,L1877,29.2 / Bryophyte Gametophytes,"L1880,L1890",29.2 / Bryophyte Sporophytes ; 29.3 / Origins and Traits of Vascular Plants,29.2 / Bryophyte Gametophytes：蘚類以具獨立生活能力的配子體占優勢。,29.2 / Bryophyte Sporophytes：附著營養依賴的蘚類孢子體作對照；29.3 / Origins and Traits of Vascular Plants：維管植物孢子體優勢與真正維管組織用於排除其餘植物。,原表A，土馬騣為蘚類，肉眼主要植物體為配子體；其假根不是真正維管根。其餘所列維管植物主要植物體為孢子體，不把蘚類孢子體說成不存在。,"621,622,623,624,625,626,629,630","670,671,672,673,674,675,678,679",Codex /root,TCU-108-R2-Q22
TCU-108-Q23,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q23.png,9d1fb225be9979d6b7707d04407b25ab9d42e217ab0a1dddb6e8c64ddf45db2a,L2557,39.2 / A Survey of Plant Hormones,,,39.2 / A Survey of Plant Hormones：比較四種植物激素對莖部伸長的作用。,無另列最小次條目；不能。正文有激素小標，但本地實際目錄只有A Survey of Plant Hormones，採真實最小目。,原表B，gibberellin促莖伸長。真實目錄最細是A Survey of Plant Hormones，赤黴素只是正文內小標，不新造目錄條目。其他激素也可參與生長，不能將選項間作用描述成毫不重疊。,"847,848,849,850,851,852,853,854","896,897,898,899,900,901,902,903",Codex /root,TCU-108-R2-Q23
TCU-108-Q24,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q24.png,bcdba29f9b2d0fd7b8c5c052497e48878633436045f2aff3e3571c0f6fcfec97,L0647,10.3 / Photosynthetic Pigments: The Light Receptors,L0653,10.3 / A Photosystem: A Reaction-Center Complex Associated with Light-Harvesting Complexes,10.3 / Photosynthetic Pigments: The Light Receptors：多種色素吸收不同波長的光提高可用光譜範圍。,10.3 / A Photosystem: A Reaction-Center Complex Associated with Light-Harvesting Complexes：天線色素向反應中心傳遞激發能，解釋不同色素如何協作。,原表B。Chlorophyll a/b及carotenoids吸收光譜不同，可提高不同波長光的利用；能量在天線複合體轉移，不是把數個顏色合成一個更高能量的光子。,"192,193,194,195","241,242,243,244",Codex /root,TCU-108-R2-Q24
TCU-108-Q25,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q25.png,b697fb67ca1aec1aab2283257a9ec21ad629337357baa8b28f6fee2d0d5652be,L1890,29.3 / Origins and Traits of Vascular Plants,L1867,29.1 / Derived Traits of Plants,29.3 / Origins and Traits of Vascular Plants：早期維管植物Cooksonia的構造與演化特徵。,29.1 / Derived Traits of Plants：早期陸生植物的適應與缺乏現代根葉的形態背景。,原表C。Cooksonia為小型、分枝軸狀的早期陸生植物化石，缺乏現代式根與葉，軸可行光合作用。不同化石種維管證據有差別，不以此名字概括所有標本構造或把體型大小說成單因決定。,"621,622,629,630,631","670,671,678,679,680",Codex /root,TCU-108-R2-Q25
TCU-108-Q26,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q26.png,3cb907585e34d0276d074d7a8f4ef8d6054294a1264cce6dfb8a6eac7f431f44,L2586,39.4 / Mechanical Stimuli,,,39.4 / Mechanical Stimuli：含羞草受機械刺激的快速反應是觸覺刺激子目。,無另列最小次條目；原問膨大構造，B葉枕正確；機械刺激正文直接涵蓋pulvini，未只寫泛稱葉柄。,原表B。葉枕運動細胞離子移動伴隨水分變化，改變膨壓而閉合葉片；是快速可逆運動，不靠細胞生長或動物肌肉收縮。,"861,862","910,911",Codex /root,TCU-108-R2-Q26
TCU-108-Q27,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,5,5,1,,questions/Q27.png,f82c8a7a66d787819796a9de1ea032c8156971aec0cbb90c36009b7b3829d580,L3768,56.3 / Landscape Structure and Biodiversity,"L1455,L3745",23.3 / Genetic Drift ; 56.1 / Threats to Biodiversity,56.3 / Landscape Structure and Biodiversity：道路切割棲地使連通性與族群規模改變。,23.3 / Genetic Drift：小族群抽樣誤差增強造成漂變；56.1 / Threats to Biodiversity：棲地破壞與道路致死構成保育威脅。,原表C。破碎化可縮小有效族群而增加遺傳漂變、阻礙基因流；道路也造成路殺與邊緣改變。族群「變小」不保證每一性狀都立即降低，但長期隨機遺傳損失風險增加。,"494,495,496,1263,1264,1265,1270,1271","543,544,545,1312,1313,1314,1319,1320",Codex /root,TCU-108-R2-Q27
TCU-108-Q28,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,6,6,1,,questions/Q28.png,25c12b81fe2f8dd2d1c0034f165bad56fe3704b3e8a78c51122d929521bf01cc,L3598,54.1 / Competition,L3574,53.5 / Mechanisms of Density-Dependent Population Regulation,54.1 / Competition：競爭排除與干擾／資源競爭屬群集種間競爭。,53.5 / Mechanisms of Density-Dependent Population Regulation：種內競爭同樣可依密度調節族群，避免把競爭限於異種。,原表C。在穩定且資源受限的環境中，完全相同生態棲位難以長期共存。干擾競爭是直接阻擋，利用性競爭透過共同資源；兩者不能互換，也不是只有種間才競爭。,"1203,1204,1215,1216,1217","1252,1253,1264,1265,1266",Codex /root,TCU-108-R2-Q28
TCU-108-Q29,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,6,6,1,,questions/Q29.png,ccfc040c776222eebc1a48955cab79a836b03d37650992cac9cc4d1b8515f00a,L3768,56.3 / Landscape Structure and Biodiversity,L1458,23.3 / Gene Flow,56.3 / Landscape Structure and Biodiversity：生態廊道連接破碎棲地的功能與限制。,23.3 / Gene Flow：廊道促進個體及等位基因跨族群移動。,原表D。廊道可提高基因流與重新定殖機會，並不藉增加漂變來增加遺傳多樣性；也可能傳播病原、入侵者，利益依實際景觀及物種而定。,"496,497,1270,1271","545,546,1319,1320",Codex /root,TCU-108-R2-Q29
TCU-108-Q30,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,6,6,1,,questions/Q30.png,7d839984cebc2c056b625574e1f0c47816d2e4c3d6bbcb0a9a0cdce84cc5ccf6,L3587,53.6 / Global Carrying Capacity,,,53.6 / Global Carrying Capacity：生態足跡是人類全球承載量評估所用的需求面積指標。,無另列最小次條目；原D土地面積，教材承載量內ecological footprint直接支持，目錄無獨立足跡子目。,原表D。估算供應資源與吸收廢棄物所需的生物生產性土地與水域，以面積及標準化全球公頃表示；不是人口成長率或純污染濃度。,"1209,1210,1211","1258,1259,1260",Codex /root,TCU-108-R2-Q30
TCU-108-Q31,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,6,6,1,,questions/Q31.png,addd90de7cebee69d4f443d30f41b018d5e1d618237d5cd9951ab6d37ff12894,L3534,53.1 / Demographics,L2133,33.4 / Arthropods,53.1 / Demographics：週期性死亡風險呈現在存活曲線，是族群人口學。,33.4 / Arthropods：節肢動物必須蛻皮，提供螃蟹危險時段的機制。,原表C。甲殼類蛻皮後硬殼未恢復時風險增加，可能形成階梯狀存活曲線。本地p1194直接用螃蟹說明此例；不是所有節肢動物都具有完全相同曲線。,"706,707,708,709,1193,1194,1195","755,756,757,758,1242,1243,1244",Codex /root,TCU-108-R2-Q31
TCU-108-Q32,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,6,6,1,,questions/Q32.png,4b38c09a5e82f060f077b12288dbf4ecef756fe6285f9da3717f5e9531970620,L3745,56.1 / Threats to Biodiversity,,,56.1 / Threats to Biodiversity：引入種／入侵種與生物多樣性威脅的辨析。,無另列最小次條目；原C的「一定」兩次皆過強；D定義加上適應擴散也有範圍限制，保存原文而分類仍保育威脅。,原表C。外來種由人類活動跨出原生分布，只有部分建立、擴張並造成危害而成入侵問題；不等同所有外來種皆有害。原題其他選項若把已擴張作所有外來種的必要定義過窄，保留此用語限制。,"1263,1264,1265","1312,1313,1314",Codex /root,TCU-108-R2-Q32
TCU-108-Q33,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q33.png,fdcbb3d7bb8988b1f6d08ea6d4aefec60e548ad7ea8a66c5227bdd714e3c14f5,L3768,56.3 / Landscape Structure and Biodiversity,,,56.3 / Landscape Structure and Biodiversity：棲地切割增加邊緣相對比例，直接對應景觀結構。,無另列最小次條目；原A邊緣效應直連邊緣／內部比例，題文最大問題不當普世排序；主景觀結構。,原表A。面積縮小或被分割可提高邊緣對內部比例，造成光、風及物種組成差異。題稱邊緣效應最大的選項按其比較情境判斷，不宣稱每種物種或所有棲地的反應都相同。,"1270,1271,1272","1319,1320,1321",Codex /root,TCU-108-R2-Q33
