題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-108-Q11,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q11.png,c5bd6c0e1a3c83080ff343dbbf6061f0422ba950339ce86a693cc0913537069a,L3039,45.3 / Adrenal Hormones: Response to Stress,L3020,45.2 / Feedback Regulation,45.3 / Adrenal Hormones: Response to Stress：皮質醇為腎上腺糖皮質素，作用與過量效應直接屬腎上腺對壓力反應。,45.2 / Feedback Regulation：回饋調節小節建立內分泌負回饋原理，配合腎上腺正文核對皮質醇升高對HPA軸的作用。,採D。正常HPA軸中皮質醇升高會抑制CRH與ACTH，屬負回饋；抗發炎、升血糖及過量可能伴高血壓均不支持D。Campbell的腎上腺分工不表示只有醛固酮影響血壓，NIDDK的Cushing資料補足皮質醇過量的高血壓範圍。,"1005,1012,1013,1014","1054,1061,1062,1063",Codex /root,ISU-108-R2-Q11
ISU-108-Q12,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q12.png,15d7b13f25a16e6f84ee33c52426333b909c309f70b3bc68c976da56e6ebe998,L3193,48.2 / Formation of the Resting Potential,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,48.2 / Formation of the Resting Potential：細胞內外Na與K濃度差是靜止電位所需的基本離子梯度。,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory：內質網小節直接說明Ca由胞質泵入ER腔，補足胞內儲鈣區室的比較。,採C。典型動物細胞內K較高、Na較低；游離胞質Ca低於細胞外及內質網腔。題文「細胞內鈣」應依游離胞質濃度理解，不等於把所有胞器儲鈣與結合鈣加總。,"104,105,1069,1070,1071","153,154,1118,1119,1120",Codex /root,ISU-108-R2-Q12
ISU-108-Q13,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q13.png,9f879de763a0e86ca4030b6803b96b38eec71331290b7cc2aefef89d0673b7be,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,,,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory：平滑ER的脂質、類固醇合成與Ca儲存皆在內質網最小目錄條目。,無另列最小次條目；實際目錄最小是ER Biosynthetic Factory，A非ER功能；B–D已在104–105全文及圖確認。,採A。104–105頁直接列出平滑ER的脂質與類固醇合成、解毒及Ca儲存；ATP製造不是其列示功能。Functions of Smooth ER是正文子標題而非本地真實目錄條目，保留在ER條目內。,"104,105","153,154",Codex /root,ISU-108-R2-Q13
ISU-108-Q14,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q14.png,9885519f386883731c390788d5b5f2f47ae07e2aa14fdbccb56d4be785a968d1,L2740,41.5 / Regulation of Digestion,,,41.5 / Regulation of Digestion：CCK調控消化器官分泌與膽囊排膽，應歸消化調節而非一般脂肪分解。,無另列最小次條目；915圖41.22明示CCK刺激胆汁釋出，B採計；核心為Regulation of Digestion，其他激素不列主分類。,採B。圖41.22顯示CCK促進膽囊排膽及胰消化酶分泌；肝臟製造膽鹽、膽囊儲存排出，兩者分開。原題用「膽泌素」與英文CCK，依英文與機轉判讀。,"908,915","957,964",Codex /root,ISU-108-R2-Q14
ISU-108-Q15,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q15.png,79bf3c435e3b131960c25153fdfd65e187d8e64133245ca51818ded7fa34e1d9,L2776,42.2 / Maintaining the Heart’s Rhythmic Beat,,,42.2 / Maintaining the Heart’s Rhythmic Beat：竇房結起搏與傳導順序直接屬維持心臟節律的小節。,無另列最小次條目；限定正常主要起搏點，C竇房結；同Q2使用PDF真實Rhythmic Beat標題。,採C。正常生理下竇房結為主要起搏點，房室結造成傳導延遲並向心室傳遞；不能因其他位置有潛在自動性而更改正常情境。採PDF真實Rhythmic Beat標題，保留文字目錄異文。,"928,929","977,978",Codex /root,ISU-108-R2-Q15
ISU-108-Q16,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q16.png,d024b3bae91d857ed5514fa53bcd73c3f9ca8a02fd72fc08889fafee53e42173,L2450,37.2 / Essential Elements,,,37.2 / Essential Elements：必需元素條目內表37.1直接比較巨量與微量元素功能，判別四種元素配對。,無另列最小次條目；811表分開Mg成分與Fe參與合成，B錯；真實最小目錄為Essential Elements，巨量與微量是正文分類。,採B。葉綠素的金屬成分為Mg，Fe參與葉綠素合成與其他代謝但不是葉綠素分子中央成分；811頁表同時支持K滲透調節、Ca細胞壁、P核酸。,"810,811","859,860",Codex /root,ISU-108-R2-Q16
ISU-108-Q17,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q17.png,97e00876d1252a7dbb3c41dddda875bf5f90406eb5bab6629c9326fab8b85e27,L2789,42.3 / Blood Pressure,L2773,42.2 / The Mammalian Heart: A Closer Look,42.3 / Blood Pressure：平均動脈壓與周邊阻力的數量關係，以血壓條目為主。,42.2 / The Mammalian Heart: A Closer Look：哺乳類循環與心臟輸出量定義補足CO為每分鐘射血量的關係。,採D。由壓差＝流量×阻力，MAP−CVP＝CO×TPR；忽略中心靜脈壓且單位一致時，題目採MAP≈CO×TPR。原選項等號保留，科學說明標示近似及CVP條件，不能當作所有情境的精確式。,"927,930,931","976,979,980",Codex /root,ISU-108-R2-Q17
ISU-108-Q18,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q18.png,d04f7cacdce86632400f98a02e47509dae27d142af1327d96c2ff2ba300b109a,L1445,23.2 / The Hardy-Weinberg Equation,,,23.2 / The Hardy-Weinberg Equation：題目給等位基因頻率並要求平衡族群的異型合子比例，直接使用Hardy–Weinberg方程。,無另列最小次條目；2pq獨立重算0.32，C；僅此最小方程條目已足，不增列泛遺傳學。,採C。重新計算2pq＝2×0.8×0.2＝0.32；p²＝0.64和q²＝0.04分別是兩種同型合子比例。不能把顯性表型比例當成Aa頻率。,"490,491,492","539,540,541",Codex /root,ISU-108-R2-Q18
ISU-108-Q19,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q19.png,5ae13b641c11604d84eaac4f808211012b32cd1967861d52f654722780f52de7,L1069,17.4 / Molecular Components of Translation,L1039,17.1 / Basic Principles of Transcription and Translation,17.4 / Molecular Components of Translation：題目辨認直接參與轉譯的分子元件，以轉譯分子組件最小條目為主。,17.1 / Basic Principles of Transcription and Translation：轉錄與轉譯基本原理釐清DNA作為轉錄模板的間接角色。,採A。轉譯以mRNA為模板、tRNA帶胺基酸、核糖體催化；DNA先提供轉錄資訊但不直接加入題設轉譯過程。「未直接」不表示DNA與蛋白質合成毫無關係。,"337,338,348,349,350","386,387,397,398,399",Codex /root,ISU-108-R2-Q19
ISU-108-Q20,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q20.png,243c44b4928f8de749de8aba8c543a0440112f2210dac682369319ffefcd412c,L2998,45.1 / Intercellular Information Flow,L2789,42.3 / Blood Pressure,45.1 / Intercellular Information Flow：NO作為局部調節者作用於鄰近血管平滑肌，直接屬旁分泌與自分泌訊息。,42.3 / Blood Pressure：血壓小節支援血管平滑肌放鬆與血管舒張的器官效應。,採A。NO促進血管平滑肌放鬆；經guanylyl cyclase使cGMP增加，並非題目C的cAMP增加或D的cGMP下降。Campbell1001頁提供局部NO訊號與舒張，cGMP細節由Klabunde原作者教材補足。,"930,931,1000,1001,1082","979,980,1049,1050,1131",Codex /root,ISU-108-R2-Q20
ISU-108-Q21,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q21.png,ee67ce4315a92d726212958ff66272648648eb907384a09f1560ea33cddb4aea,L2967,44.3 / Survey of Excretory Systems,,,44.3 / Survey of Excretory Systems：排泄系統概覽為真實最小目錄，正文在此比較昆蟲馬氏小管與其他動物排泄器官。,無另列最小次條目；D為四選項正確項，不主張唯有昆蟲；真實最小目錄Survey of Excretory Systems，馬氏小管是其正文部分。,採D。馬氏小管與昆蟲腸道合作排氮、維持水鹽；扁蟲典型為原腎管系統，水母與脊椎動物不符合題設。部分其他陸生節肢動物也有馬氏小管，題目不是主張只有昆蟲。,"984,985,986","1033,1034,1035",Codex /root,ISU-108-R2-Q21
ISU-108-Q22,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q22.png,3cac05d1bffea7f3f2d42dd5f786e6e248a92a8852fb33bbdd4beea412d39c16,L3364,50.3 / The Vertebrate Visual System,,,50.3 / The Vertebrate Visual System：瞳孔、虹膜、玻璃體、角膜及中央凹都屬脊椎動物視覺系統的功能。,無另列最小次條目；重開Q22並讀1122調適段及圖；1119正文指回人眼圖，主Vertebrate Visual System正確；A與虹膜混淆。,採A。調節進光量的是虹膜改變瞳孔大小，玻璃體並非此調節器。1118頁人眼圖提前跨入該條目的圖示，1119正文指回圖50.17；1122頁補足睫狀肌調適與中央凹的視錐。原題C的「僅含錐細胞」指其光受器組成，並非中央凹沒有任何其他細胞。,"1118,1119,1120,1121,1122","1167,1168,1169,1170,1171",Codex /root,ISU-108-R2-Q22
ISU-108-Q23,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q23.png,812971596aee3827e4df2bb176f8cdf2e988dbd0e1376e3ce7b9ddd5c2dfa331,L2977,44.4 / Solute Gradients and Water Conservation,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,44.4 / Solute Gradients and Water Conservation：亨利氏環逆流及髓質滲透梯度屬尿液濃縮溶質梯度的小節。,44.4 / From Blood Filtrate to Urine: A Closer Look：腎元功能分區與水通透性用來辨識升支、降支及集尿管角色。,採C；同年化學Q23的C或D更正不適用本題。題文中文「逆流交換」較寬泛，英語僅countercurrent mechanism：亨利氏環主要為逆流倍增，直小血管為逆流交換，兩者不可完全等同。選項所問位置依官方與濃縮機轉歸亨利氏環。,"987,988,989,990,991","1036,1037,1038,1039,1040",Codex /root,ISU-108-R2-Q23
ISU-108-Q24,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q24.png,3de1e223a3d236be221ec413cce4c0ebc0dc0cf1bd31e12fff3cf20913f8150c,L2827,42.5 / Lungs,L2840,42.6 / How a Mammal Breathes,42.5 / Lungs：肺泡氣液介面表面張力及界面活性劑在哺乳類呼吸小節，公式需同題科學補充。,42.6 / How a Mammal Breathes：負壓呼吸小節補充跨肺壓與肺泡膨脹的壓力背景。,採B。單一球形氣液介面的Laplace壓差ΔP＝2T/r；由半球受力平衡ΔPπr²＝2πrT獨立重算得到。原題以P寫肺泡壓力，應限理想化跨界面壓差，不能誤用肥皂泡雙界面的4T/r；Duke教材PDF8直接支持。,"942,943,944,945","991,992,993,994",Codex /root,ISU-108-R2-Q24
ISU-108-Q25,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q25.png,1a445a47f3724b271545b292eef74d3bfb213807db808739db1a50fd0a25ea43,L2930,43.4 / Cancer and Immunity,,,43.4 / Cancer and Immunity：PD-1/PD-L1與腫瘤免疫抑制及治療靶點相關，癌症與免疫為最貼近的真實最小目錄。,無另列最小次條目；重開Q25完整四選項，關鍵為PD1檢查點與癌症免疫；D不能由名稱推壞死，教材缺具名機制由NCI及研究補足。,採D。PD-1為抑制性免疫檢查點，可結合PD-L1、抑制T細胞反應並成為免疫治療標的；名稱含programmed cell death不能推成與壞死直接相關。Campbell974頁的Cancer and Immunity重點較窄，沒有PD-1機制；NCI及原始研究補足，不假稱課本載有此蛋白。,"974,975","1023,1024",Codex /root,ISU-108-R2-Q25
ISU-108-Q26,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,3,20,3,1,24,,questions/Q26.png,fcf8d73cd6a27ff84df57cda8ae68edc413f1f08bdf0321b6654784494233de2,L0575,9.3 / The Citric Acid Cycle,"L0564,L0572",9.2 / Glycolysis harvests chemical energy by oxidizing glucose to pyruvate ; 9.3 / Oxidation of Pyruvate to Acetyl CoA,9.3 / The Citric Acid Cycle：每分子葡萄糖兩次檸檬酸循環的NADH、FADH2產量是加總的終點。,9.2 / Glycolysis harvests chemical energy by oxidizing glucose to pyruvate：醣解提供每葡萄糖2NADH，為總數必要前段；9.3 / Oxidation of Pyruvate to Acetyl CoA：丙酮酸氧化提供每葡萄糖2NADH，不能漏掉循環前的反應。,採D。獨立加總：醣解2NADH；兩個丙酮酸氧化2NADH；兩輪TCA共6NADH＋2FADH2，合計10NADH＋2FADH2＝12。不是只數NADH的10，也不是ATP數。兩個同章最小次條目照存，Ch09章級只計一次。,"170,171,172,173,174,178","219,220,221,222,223,227",Codex /root,ISU-108-R2-Q26
ISU-108-Q27,FORMAL,False,C,C,108年度7/1審議會議釋疑維持原答案C,4,21,4,1,24,26,questions/Q27.png,1530e7112397352acca79a4162f5328d9fd80b2d21f9c8e6dbd55dcd64126fff,L3153,47.2 / The Cytoskeleton in Morphogenesis,L0391,6.7 / The Extracellular Matrix (ECM) of Animal Cells,47.2 / The Cytoskeleton in Morphogenesis：1056頁在形態發生的細胞骨架條目內直接討論CAM與細胞遷移，較器官發生情境更精確。,6.7 / The Extracellular Matrix (ECM) of Animal Cells：動物細胞外基質及integrin連結說明整合素是特定細胞黏附蛋白，非全體CAM的物質類別。,採C；同年釋疑PDF26維持C並引11e印刷1054。本輪12e印刷1056明載CAM為跨膜醣蛋白；integrins是其中成員，不能以D取代上位物質分類。器官發生是題幹情境，主分類採實際CAM解釋所在的The Cytoskeleton in Morphogenesis。,"118,119,1054,1055,1056,1057","167,168,1103,1104,1105,1106",Codex /root,ISU-108-R2-Q27
ISU-108-Q28,FORMAL,False,A,A,108年度7/1審議會議釋疑維持原答案A,4,21,4,1,24,27,questions/Q28.png,623120113c57b1a585fd16ee9a2b717146a628f77ba45b32e1d8fdce2c265815,L0572,9.3 / Oxidation of Pyruvate to Acetyl CoA,L0456,7.4 / Cotransport: Coupled Transport by a Membrane Protein,9.3 / Oxidation of Pyruvate to Acetyl CoA：丙酮酸進入粒線體接上氧化為acetyl CoA，直接是丙酮酸氧化最小條目的前置步驟。,7.4 / Cotransport: Coupled Transport by a Membrane Protein：同向共運輸的能量耦合概念補充主動運輸不一定由運輸蛋白直接水解ATP。,採A；同年釋疑PDF27引11e圖9.10維持A。12e印刷171正文也明寫active transport，圖9.9說明運輸蛋白；版次圖號不同但本題採計一致。MPC位於粒線體內膜；原始研究的ΔpH耦合機制支持次級主動運輸，不能把外膜通道或載體存在本身當成促進擴散的充分理由。,"138,171,172","187,220,221",Codex /root,ISU-108-R2-Q28
ISU-108-Q29,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q29.png,4ad1a880048d076e4dcd53afb7bc937577fc9b53396dbb7676414330fbb29551,L0665,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar,L0656,10.3 / Linear Electron Flow,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar：Calvin循環在實際目錄中以Concept10.4為最小條目，固定碳、還原與再生是其正文階段。,10.3 / Linear Electron Flow：光反應的小節定位水分解與釋氧，排除把氧氣生成置於Calvin循環。,採C。Calvin循環固定CO2、氧化NADPH並消耗ATP；O2來自光反應的水分解。正文階段未單列於目錄，不擅造更小的目錄ID。,"197,198,201,202","246,247,250,251",Codex /root,ISU-108-R2-Q29
ISU-108-Q30,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q30.png,c84b86478a41587f6c4450ebc22e65de9073d6eef2bed60cc6469aed418fc42a,L0776,12.2 / Cytokinesis: A Closer Look,,,12.2 / Cytokinesis: A Closer Look：植物細胞胞質分裂時Golgi小泡形成細胞板，直接屬胞質分裂的最小條目。,無另列最小次條目；小泡融合建細胞板是原題B；主Cytokinesis，運輸微管只是輔助，沒有必要另列胞器章。,採B。Golgi衍生小泡沿微管運送並融合成細胞板；肌動蛋白與肌凝蛋白的收縮環是動物胞質分裂的典型方式，不能套到植物。,"241,242","290,291",Codex /root,ISU-108-R2-Q30
ISU-108-Q31,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q31.png,e909cfe71da5eb8b0ce7512c4703f472ed729695bed7276f2061ae82634d108b,L0837,13.3 / The Stages of Meiosis,L0770,12.2 / Phases of the Cell Cycle,13.3 / The Stages of Meiosis：減數分裂I中期尚未分開姐妹染色分體，核心在減數分裂階段。,12.2 / Phases of the Cell Cycle：細胞週期S期複製DNA說明G1的X如何成為2X。,採C。G1為X，經一次S期成為2X，減數I中期還沒有完成第一次分裂，仍是2X。DNA量加倍不等於倍體數由2n變4n；也沒有在減數I前連續複製兩次。,"237,259,260,261,262","286,308,309,310,311",Codex /root,ISU-108-R2-Q31
ISU-108-Q32,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q32.png,39344bf734161a5fdf45f26add0ee96b360265d162b74c667ce149e5a59a77b9,L0942,15.2 / The Chromosomal Basis of Sex,,,15.2 / The Chromosomal Basis of Sex：螞蟻與蜜蜂的單倍體－二倍體系統列在性別的染色體基礎。,無另列最小次條目；298–299性別系統支持A；原題大部分的限定保存，不延伸例外造成錯誤廣化。,採A。題設的大多數物種雄性由未受精卵發育為單倍體、雌性由受精卵發育為二倍體。保留「大部分」限定，不推成所有膜翅目均無例外。,"298,299","347,348",Codex /root,ISU-108-R2-Q32
