題號,分類狀態,待審,原答案,依已取得來源採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-107-Q11,FORMAL,False,C,C,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q11.png,8bc734cf39aad2f729d1e53c00fa6e29bf2cdcfdeb2725cbacc57ebfa39351a5,L3104,46.4 / Hormonal Control of Female Reproductive Cycles,,,46.4 / Hormonal Control of Female Reproductive Cycles：LH高峰與排卵屬雌性生殖週期荷爾蒙控制。,無另列最小次目；題幹確實問最快；LH峰最直接，主雌性週期；沒有把獸醫情境變成未提供劑量的處方。,原表C。LH是選項中最直接促排卵訊號；FSH先促濾泡生長，雌激素正回饋位在上游。題意是生理機制比較，不從題目產生動物用藥劑量。,"1032,1033,1034","1081,1082,1083",Codex /root,TCU-107-R2-Q11
TCU-107-Q12,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q12.png,ea8ffbe26d28dcf2cf1858e1a84b749240aff911ef84b428da7bfc385239ba34,L3381,50.5 / Vertebrate Skeletal Muscle,L3231,48.4 / Neurotransmitters,50.5 / Vertebrate Skeletal Muscle：神經肌肉接點訊號受阻導致骨骼肌無法正常收縮。,48.4 / Neurotransmitters：乙醯膽鹼作為運動神經末端傳遞物是直接作用位置,原表B。抑制骨骼肌乙醯膽鹼受體會降低終板去極化、鈣釋放及收縮，可致麻痺；不是抑制乙醯膽鹼酯酶造成持續刺激，不能推論神經軸突的動作電位本身被直接阻止。,"1080,1081,1126,1127,1128,1129,1130","1129,1130,1175,1176,1177,1178,1179",Codex /root,TCU-107-R2-Q12
TCU-107-Q13,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q13.png,de269b727b979b1cc8dc98235063a2786cf6512b3dda41a01daa8300ffaf3d62,L2192,34.3 / Ray-Finned Fishes and Lobe-Fins,"L2202,L1412",34.4 / The Origin of Tetrapods ; 22.3 / Homology,34.3 / Ray-Finned Fishes and Lobe-Fins：肉鰭魚的骨骼與肌肉支撐附肢是接近四足類的核心證據。,34.4 / The Origin of Tetrapods：四足動物附肢衍徵對照；22.3 / Homology：同源構造是比較推理的方法,原表B。成對肉質鰭內骨骼、肌肉與四足類肢的同源性支持關係；現生肉鰭魚不是現生四足動物的直接祖先，也不能把肺魚的空氣呼吸概括為所有現生肉鰭類完全相同。,"479,480,728,729,730,731","528,529,777,778,779,780",Codex /root,TCU-107-R2-Q13
TCU-107-Q14,FORMAL,False,C,C,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q14.png,3d8adf2b11e259eb776c24a7779d3b12a48b75cad51dd08c03d9b86e91cb9405,L2237,34.6 / Eutherians (Placental Mammals),L3364,50.3 / The Vertebrate Visual System,34.6 / Eutherians (Placental Mammals)：靈長類正文位於真實目錄Eutherians之下，不能另造Primates目錄葉。,50.3 / The Vertebrate Visual System：雙眼重疊視野連結脊椎動物視覺系統,原表C。朝前雙眼的視野重疊可支持立體視覺和距離判斷。不是單眼焦距變化的同義詞，也不把所有哺乳類都視為朝前雙眼。,"744,745,746,747,1119,1120,1121,1122","793,794,795,796,1168,1169,1170,1171",Codex /root,TCU-107-R2-Q14
TCU-107-Q15,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q15.png,15f7a47836bb60bca1b05c1151f01cedd343405107b1a4e616210aeb94e4c84c,L2413,36.5 / Bulk Flow by Positive Pressure: The Mechanism of Translocation in Angiosperms,L2410,36.5 / Movement from Sugar Sources to Sugar Sinks,36.5 / Bulk Flow by Positive Pressure: The Mechanism of Translocation in Angiosperms：五步排序以篩管壓力流機制為核心。,36.5 / Movement from Sugar Sources to Sugar Sinks：糖由源到庫及源端裝載提供壓力梯度起點,原表B，2→4→3→1→5：葉肉光合產糖→葉片細胞間轉糖→主動裝入篩管→水滲入→沿莖下移。沿莖向下只適用本題源庫配置；不同篩管可向不同庫運輸，並非所有植物所有裝載均必須主動耗ATP。,"799,800,801","848,849,850",Codex /root,TCU-107-R2-Q15
TCU-107-Q16,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q16.png,e2cff7342a59cd21a95d8c7e3a84fbebaca60bb42ee16e33e06feae8054f3a9a,L1919,30.1 / The Evolutionary Advantage of Seeds,L3075,46.2 / Ensuring the Survival of Offspring,30.1 / The Evolutionary Advantage of Seeds：種子包覆胚與營養的功能最接近卵生的保護包裹。,46.2 / Ensuring the Survival of Offspring：卵生、胎生與後代保護比較補充類比依據,原表A。種子與卵生皆可在保護構造內提供胚營養，但此為功能類比，非同源器官。種子受精在母株，不可因此說所有卵生動物都體外受精。,"638,639,640,1022,1023","687,688,689,1071,1072",Codex /root,TCU-107-R2-Q16
TCU-107-Q17,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q17.png,55f91e85d2afc8d3da584826977dd80fb2e0e30427de16dd08f4e41f32a6d195,L3364,50.3 / The Vertebrate Visual System,,,50.3 / The Vertebrate Visual System：視桿細胞光訊號轉換在脊椎動物視覺系統最小條目。,無另列最小次目；原圖D中文鈉通道、英文potassium channel不一致，新增明示；B關閉鈉通道並超極化不受此排版差異影響。,原表B。原圖D中文寫鈉通道而英文為potassium channel，兩者不一致，原圖照存。光活化色素後cGMP下降，陽離子通道關閉，視桿細胞超極化並減少麩胺酸釋放；不是照光讓鈉通道打開，視桿受體電位亦非自己產生的全有全無動作電位。,"1119,1120,1121,1122","1168,1169,1170,1171",Codex /root,TCU-107-R2-Q17
TCU-107-Q18,FORMAL,False,D,D,維持原答案D,5,5,1,3,questions/Q18.png,a5e5ab74e2f18e2fa481b203d75aacba6321c5880ad8ac39e95cdb3c5a7abd54,L2967,44.3 / Survey of Excretory Systems,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,44.3 / Survey of Excretory Systems：比較腎元與後腎管的原尿來源及排泄系統構造。,44.4 / From Blood Filtrate to Urine: A Closer Look：腎元血液過濾與後續修改需對照血液到尿液程序,原表D，釋疑維持D。腎元濾液來自血液，蚯蚓後腎管由腎口接受體腔液；兩者都可配合血管進行選擇性再吸收。公告稱腎元在皮質是簡略說法，部分亨利氏環深入髓質。,"984,985,986,987,988","1033,1034,1035,1036,1037",Codex /root,TCU-107-R2-Q18
TCU-107-Q19,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q19.png,4b295b645657f86f3fc07158e2bb2e28a09d144b40b53ba2262be12430964968,L1123,18.2 / Regulation of Chromatin Structure,,,18.2 / Regulation of Chromatin Structure：表觀遺傳以染色質修飾造成持續基因表現變化，對應染色質結構調節。,無另列最小次目；D最接近不改DNA的調控；需染色質穩定調控範圍，未把普通瞬時表現皆稱表觀遺傳。,原表D。DNA甲基化、組蛋白修飾等可在不改DNA鹼基序列下調節表現；選項D的選擇性表現只是寬泛描述，並非所有瞬時轉錄變化都必然屬可遺傳表觀遺傳。,"371,372,373","420,421,422",Codex /root,TCU-107-R2-Q19
TCU-107-Q20,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q20.png,ee5e9e291d2be69ab7f6b20ff23384a482a86ee89e3c64ef216b4b1f16830ff0,L1059,17.3 / Alteration of mRNA Ends,L1019,16.2 / Replicating the Ends of DNA Molecules,17.3 / Alteration of mRNA Ends：poly(A)尾形成屬真核轉录後RNA加工。,16.2 / Replicating the Ends of DNA Molecules：端粒酶使用內建RNA模板，與不需模板的poly(A)聚合酶對照,原表B。poly(A)聚合酶以ATP在RNA的3′端添A，不需核酸模板，但仍需受體RNA的3′OH。端粒酶有RNA模板，反轉錄酶及一般轉錄RNA聚合酶亦使用模板。,"328,329,330,345,346","377,378,379,394,395",Codex /root,TCU-107-R2-Q20
TCU-107-Q21,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q21.png,80eeae31dfcce1c64a60842db5d8c3c1bb2cc001fe4e580bbb64bccb6a68a340,L3248,49.1 / Glia,L3212,48.3 / Conduction of Action Potentials,49.1 / Glia：星狀膠細胞、微膠細胞、Schwann細胞與寡樹突膠細胞功能辨認。,48.3 / Conduction of Action Potentials：有髓傳導提供Schwann與寡樹突功能對照,原表A。教材1090支持星狀膠細胞促進訊息傳遞；B混淆中樞與周邊，C混淆免疫防禦。但D所述Schwann細胞也可提供支持並非一般科學錯誤：2023研究顯示非髓鞘Schwann細胞的營養支持訊號。現有公告未列Q21，記錄答案唯一性的疑慮而不自行改採D。,"1075,1076,1090,1091","1124,1125,1139,1140",Codex /root,TCU-107-R2-Q21
TCU-107-Q22,FORMAL,False,B,B,維持原答案B,5,5,1,3,questions/Q22.png,72ade0efa81b1552fcade27e00d9d596fedab2c6405530bdb330a6683c746871,L3212,48.3 / Conduction of Action Potentials,L3248,49.1 / Glia,48.3 / Conduction of Action Potentials：髓鞘的電絕緣作用影響動作電位傳導速度。,49.1 / Glia：髓鞘形成膠細胞補充受損構造來源,原表B且公告維持，指II速度減慢。嚴重去髓鞘也可能造成傳導阻斷（III），原研究模型支持此限制；I所述在軸突相反方向移動並非去髓鞘的必然後果。分類已確定，不把科學上的III可能性冒充官方新增採計。,"1075,1076,1090,1091","1124,1125,1139,1140",Codex /root,TCU-107-R2-Q22
TCU-107-Q23,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q23.png,ec86bddb8313ce1313cd5ac8df6185d2f3e2442c73225bf6c3a0f1258611a7cb,L0394,6.7 / Cell Junctions,L3248,49.1 / Glia,6.7 / Cell Junctions：腦微血管內皮細胞間緊密連結直接限制旁細胞通行，故細胞連結為主。,49.1 / Glia：星狀膠細胞參與血腦障壁形成及維持，是支持作用,原表A。緊密連結位在內皮細胞間；星狀膠細胞可誘導、維持其功能，寡樹突膠細胞主要形成中樞髓鞘。教材1090只概述膠細胞參與，1987內皮培養研究補充實際連結位置，勿把障壁完全等同星狀膠細胞本身。,"119,120,1090,1091","168,169,1139,1140",Codex /root,TCU-107-R2-Q23
TCU-107-Q24,FORMAL,False,C,C,維持原答案C,6,6,1,3,questions/Q24.png,c9d2805967d6a5911ab289e9d9bf0b5bb64d4dfe3a66642cd685a0c5ed5a61d3,L1091,17.5 / Using CRISPR to Edit Genes and Correct Disease-Causing Mutations,L1199,19.2 / Replicative Cycles of Phages,17.5 / Using CRISPR to Edit Genes and Correct Disease-Causing Mutations：CRISPR-Cas9導引RNA與DNA標的辨別對應基因編輯工具。,19.2 / Replicative Cycles of Phages：噬菌體複製循環正文404包含細菌CRISPR防禦機制,原表C，公告維持C。CRISPR指基因組DNA重複與間隔序列區域，不等同導引RNA；題文guild RNA拼字保留於原圖。A「多數細菌」也過廣，2016研究完整細菌基因組樣本約40.6%有系統，特定未培養樣本更少；這些比例有年代與採樣限制，非全部當代細菌普查。,"360,361,404,405","409,410,453,454",Codex /root,TCU-107-R2-Q24
TCU-107-Q25,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q25.png,73eb2335528b7590d9df623195b3f3e3656aa3ef91cc2cb4f7cf560780d87c56,L0539,8.5 / Allosteric Regulation of Enzymes,,,8.5 / Allosteric Regulation of Enzymes：代謝終產物抑制前段酵素是回饋抑制，正文小標歸真實目錄Allosteric Regulation of Enzymes。,無另列最小次目；完整X→Y→Z→A且A回頭結合酵素，負回饋充分；沒有指定結合位，不妄推競爭抑制。,原表A。終產物A累積時抑制X→Y，降低整條路徑通量。題目只給抑制關係，不能額外判定必然競爭活性位或確定特定結合位點。,"160,161","209,210",Codex /root,TCU-107-R2-Q25
TCU-107-Q26,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q26.png,d0c7adf2ef651c21854bdaa0380d0e0ca4a66bea7a56b4b1a4a7661196470919,L1013,16.2 / Proofreading and Repairing DNA,,,16.2 / Proofreading and Repairing DNA：移除受損DNA、補回、封口屬DNA校讀與修復。,無另列最小次目；D移除後補回再封口；保留細菌Pol I情境及簡化酵素清單。,原表D：內切核酸酶→DNA polymerase I→DNA ligase。這是細菌核苷酸切除修復簡化排序，未列全部解旋、切除複合體；不能把Pol I當作所有真核生物的同名主要修復酶。,"327,328","376,377",Codex /root,TCU-107-R2-Q26
TCU-107-Q27,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q27.png,3b1ba7820b8e60ed7abbc67f739b30c83984c8f2cef19bb131331392f62debbc,L1327,21.4 / Transposable Elements and Related Sequences,L1728,27.2 / Genetic Recombination,21.4 / Transposable Elements and Related Sequences：轉位因子在基因組內移動及造成變異是題目主體。,27.2 / Genetic Recombination：質體細菌間轉移需比較接合與DNA轉移,原表B。但選項「可以協助質體由一細菌到另一細菌」不能以「轉位子絕不參與接合」排除：1995 Tn916 oriT研究實測可動員質體嵌合體。基礎教材將轉位與F質體接合分述，進階存在接合型轉位子；C能主導所需蛋白也須限於具功能編碼的自主轉位子；非自主元件可依賴其他元件。保留原表與概括過強的差異，不自行宣告官方改答案。,"451,452,453,579,580,581","500,501,502,628,629,630",Codex /root,TCU-107-R2-Q27
TCU-107-Q28,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q28.png,739f10375b2e999f947668ff72958b796f9090317846b54cb403c1745fcdac45,L0885,14.2 / Solving Complex Genetics Problems with the Rules of Probability,L0882,14.2 / The Multiplication and Addition Rules Applied to Monohybrid Crosses,14.2 / Solving Complex Genetics Problems with the Rules of Probability：四對獨立分配基因的特定基因型概率以乘法法則計算。,14.2 / The Multiplication and Addition Rules Applied to Monohybrid Crosses：獨立分配與各單因子分离為概率前提,原表D。F1為AaBbCcDd，Aa×Aa得到Aa為1/2、BB為1/4、cc為1/4、Dd為1/2，AaBBccDd合為1/64。另以16×16配子組合枚舉核算4/256；不把異合型機率當1/4。,"276,277,278","325,326,327",Codex /root,TCU-107-R2-Q28
TCU-107-Q29,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q29.png,9d27694b6959ac9bd47069e274c15315c566dc1366ea642339a44e256b280daf,L1163,18.5 / Types of Genes Associated with Cancer,L0792,12.3 / Loss of Cell Cycle Controls in Cancer Cells,18.5 / Types of Genes Associated with Cancer：原致癌基因及致癌基因變化對應與癌症相關基因種類。,12.3 / Loss of Cell Cycle Controls in Cancer Cells：細胞週期控制失常是生理後果,原表B。proto-oncogene本為調節生長、分裂的正常基因，突變或過度表現可成致癌因素；不是所有正常基因都致癌，也不是必然由病毒首次帶入。,"248,249,388,389,390","297,298,437,438,439",Codex /root,TCU-107-R2-Q29
TCU-107-Q30,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q30.png,85031db809757811af15110c8433603503ea3776958784f82be5354ce43d5606,L2093,33.1 / Sponges are basal animals that lack tissues,,,33.1 / Sponges are basal animals that lack tissues：海綿構造與領細胞、孔道系統屬Porifera最小條目。,無另列最小次目；原圖D單層與教材雙層加中膠層不符；其餘領細胞和淡水海綿敘述不能藉此刪掉。,原表D。海綿具有內外細胞層及膠狀中膠層，非只有單層細胞；教材分類下沒有真正組織，領細胞驅動水流。部分海綿淡水生，不能一律海生。,"690,691","739,740",Codex /root,TCU-107-R2-Q30
TCU-107-Q31,FORMAL,False,C,C,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,7,7,1,,questions/Q31.png,31eca1a4b21ac8575a31b5d67fbdeffccd1a195f3bea41f31bde2d4401a0954e,L2944,44.1 / Osmoregulatory Challenges and Mechanisms,L2957,44.2 / Forms of Nitrogenous Waste,44.1 / Osmoregulatory Challenges and Mechanisms：鯊魚保留尿素與海水滲透關係屬滲透調節挑戰。,44.2 / Forms of Nitrogenous Waste：尿素兼具含氮廢物與可留存滲透溶質角色,原表C。鯊魚尿素與TMAO等使總滲透濃度接近或略高海水，不是血中NaCl與海水相同，也不由水通道直接偵測環境。題幹「相同」是近似。,"978,979,980,982,983","1027,1028,1029,1031,1032",Codex /root,TCU-107-R2-Q31
TCU-107-Q32,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,7,7,1,,questions/Q32.png,8e73b7dbd1e4baa5caed80755ac5092611c405a4f61487faef729305491aa518,L2557,39.2 / A Survey of Plant Hormones,L2564,39.3 / Blue-Light Photoreceptors,39.2 / A Survey of Plant Hormones：生長素分布不均造成莖背光側伸長，屬植物激素機制。,39.3 / Blue-Light Photoreceptors：向光性及藍光反應為刺激到生長素重分布的關聯,原表A。單側光後背光側伸長較多使莖彎向光；C把胚芽鞘頂端與頂端分生組織用語混在一起，不能因此把生長素向下運輸機制一概否認。此為莖，根對濃度的伸長反應可能不同。,"845,846,847,848,849,855,856","894,895,896,897,898,904,905",Codex /root,TCU-107-R2-Q32
TCU-107-Q33,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,7,7,1,,questions/Q33.png,ac274bb7253c7116ac692b4924ca7fbd0917580fa066706394316d4e03930daf,L2557,39.2 / A Survey of Plant Hormones,,,39.2 / A Survey of Plant Hormones：乙烯參與果實成熟和葉脫落，對應植物激素概覽最小條目。,無另列最小次目；A/C是重疊類別，D乙烯最合題意；成熟及脫落正文於同一真實目錄葉。,原表D。乙烯促進相關成熟、脫落反應並和auxin交互作用；IAA就是一種auxin，A與C不是獨立激素大類。不能說所有果實成熟都同樣依賴乙烯躍變。,"847,848,853,854","896,897,902,903",Codex /root,TCU-107-R2-Q33
