題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,目錄行號,目錄PDF頁,補充來源,第二輪紀錄
CMU-115-Q18,FORMAL,False,D,D,維持D,4,1,8,questions/Q18.png,603f860ac02c999cf7aa31d5504773e17c05832bd46c9de0b7d852eeb1276601,L0456,7.4 / Cotransport: Coupled Transport by a Membrane Protein,L0453,7.4 / How Ion Pumps Maintain Membrane Potential,Na+梯度驅動另一種離子運輸，屬梯度耦合運輸；Cotransport下的原理支援NCX機制。,How Ion Pumps Maintain Membrane Potential支援被抑制的Na+/K+泵。NCX是反向運輸，不能照抄教材蔗糖同向運輸圖。,D；官方釋疑第8頁確認Na+梯度下降降低NCX排Ca2+能力；並非直接活化Ca2+通道。,"137,138","186,187","456,453",36,,CMU-115-R2-Q18
CMU-115-Q19,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,4,1,,questions/Q19.png,013c6997a73467345b0447b91b888a043c7fb310957188e9bb4ba7d585a9c077,L2853,42.7 / Respiratory Pigments,,,血紅素氧親和力及Bohr效應在Respiratory Pigments直接說明。,pH為調控因素，無須另計一般酸鹼章。,A；代謝旺盛處CO2增加、pH下降，使Hb降低O2親和力並釋氧。,"947,948,949","996,997,998",2853,46,,CMU-115-R2-Q19
CMU-115-Q20,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,4,1,,questions/Q20.png,a6759d2965858343767d4c724bde9dbbe0ba93c94bdf1250b2001651ba1a24ff,L0595,9.5 / Types of Fermentation,,,乳酸發酵後的乳酸可回到pyruvate並接回有氧代謝，採Types of Fermentation。,不把供氧恢復誤作停止糖解，也不另列一般肌肉章。,C；乳酸轉回丙酮酸後可被氧化；乳酸清除亦有其他去向，本題選項C正確且不宣稱唯一途徑。,"180,181","229,230",595,37,,CMU-115-R2-Q20
CMU-115-Q21,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q21.png,7b55cd4bd60663920a28d20dd804f8903cf3fac93da091bdcfbf7a213e661057,L0436,7.3 / Passive transport is diffusion of a substance across a membrane with no energy investment,L2812,42.5 / Partial Pressure Gradients in Gas Exchange,題目要求辨識不耗能、不用運輸蛋白的擴散方式，主列7.3概念本身的直接擴散段落。其兩個子條目只談滲透或促進性擴散，不能硬套。,42.5 Partial Pressure Gradients in Gas Exchange支援肺泡／血液氣體分壓的特定驅動力。,C；O2與CO2沿分壓差簡單擴散，無需泵或運輸蛋白。,"132,133,939","181,182,988","436,2812","36,46",,CMU-115-R2-Q21
CMU-115-Q22,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q22.png,0ca927e0373293607f507414e45d1afa64cdb74356469f33dbe59f812547360f,L0411,7.1 / The Fluidity of Membranes,,,cis不飽和脂肪酸碳鏈彎折減少緊密堆積，直接對應The Fluidity of Membranes。,心血管健康是題幹情境，不增加循環疾病分類。,B；以天然cis不飽和脂肪酸為背景，多個雙鍵造成彎折並提高膜流動性；不泛稱所有雙鍵含trans都造成同等彎折。,"128,129","177,178",411,36,,CMU-115-R2-Q22
CMU-115-Q23,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q23.png,53a042156cfc5648af95a3125c1bb6f16d0a069516219b7ade79064c6e05de31,L1019,16.2 / Replicating the Ends of DNA Molecules,,,末端複製難題、端粒及端粒酶均在Replicating the Ends of DNA Molecules。,細菌是錯誤選項用來區辨的對象，不新增微生物章。,B是錯誤敘述；一般細菌沒有真核式端粒／端粒酶系統，不能作廣效抗生素的一般靶點。,"328,329,330","377,378,379",1019,39,,CMU-115-R2-Q23
CMU-115-Q24,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q24.png,7393bb5ba54241c7a32c7d1e017bf4b3193ecf796eed129c5ff3b5d481e443d7,L3004,45.1 / Cellular Hormone Response Pathways,L0711,11.2 / Intracellular Receptors,類固醇激素的脂溶性、胞內受體及轉錄反應，直接對應Cellular Hormone Response Pathways。,11.2 Intracellular Receptors提供激素—受體複合體作轉錄調節者的分子機制。,C；典型類固醇訊號穿膜結合胞內受體並改變基因表現；本題考經典路徑而非所有非基因體例外。,"1002,1003,220","1051,1052,269","3004,711","38,47",,CMU-115-R2-Q24
CMU-115-Q25,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q25.png,8412f5aebbdf051dcd43a1ff1094b14ad0b9a61f495adef24a4607c2d89679a8,L2908,43.3 / Immunization,L2870,43.1 / Innate Immunity of Vertebrates,題目以mRNA免疫接種技術為核心，主列Immunization；目錄沒有mRNA疫苗或核苷修飾專項。,43.1 Innate Immunity of Vertebrates支持未修飾RNA活化先天辨識的問題，研究補足修飾技術。,C；核苷修飾降低不必要的先天免疫活化並改善蛋白表現；不是DNA整合或注射抗體。,"968,954,955","1017,1003,1004","2908,2870",47,S08,CMU-115-R2-Q25
CMU-115-Q26,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,5,1,,questions/Q26.png,c41855e8cf974881e0760732e3d31c41bb2606db80149959e50023ffe18595b9,L0895,14.3 / Extending Mendelian Genetics for Two or More Genes,,,兩個基因依序作用造成隱性上位性，屬Extending Mendelian Genetics for Two or More Genes。,不因花色而列植物生殖，題目核心為遺傳機率。,C；缺乏前驅物的aa佔1/4，不論B位點為何皆白色。依題意功能性顯性等位基因假設，分布為9紫:3黃:4白。,"281,282","330,331",895,38,,CMU-115-R2-Q26
CMU-115-Q27,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,6,1,,questions/Q27.png,d7dee99c77818e5dda40e6317ad0c6442872d178901f858748f1382ad60db1ad,L2570,39.3 / Biological Clocks and Circadian Rhythms,L1126,18.2 / Regulation of Transcription Initiation,p858直接描述clock genes轉錄負回饋與延遲造成振盪，屬Biological Clocks and Circadian Rhythms，較49.2中樞時鐘同步更貼題。,18.2 Regulation of Transcription Initiation補充轉錄因子抑制自身基因的調控層次；題目未指定生物種類。,B；蛋白質累積後抑制自身轉錄、降解後解除抑制，延遲的負回饋形成振盪。Ch39是教材敘述位置，不表示原題限定植物。,"857,858,373,374","906,907,422,423","2570,1126","39,45",,CMU-115-R2-Q27
CMU-115-Q28,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,6,1,,questions/Q28.png,3359e3f773f43a7b3f3e1bec605a20eafb9bae4973050abab2202dc3785a300b,L3219,48.4 / Generation of Postsynaptic Potentials,,,決定正確選項的是配體閘控Cl−電導增加所致的抑制性突觸效應，主列Generation of Postsynaptic Potentials。,寄生線蟲及青蒿素是情境／干擾選項，不直接據此歸入動物分類章。,D；伊維菌素可結合並促進無脊椎GluCl開啟。不可把Campbell哺乳動物glutamate常為興奮性的例子直接移植至此Cl−通道。,"1078,1079","1127,1128",3219,48,S09,CMU-115-R2-Q28
CMU-115-Q29,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,6,1,,questions/Q29.png,9a4c7730d941f96aabad040d72f1006de26fa1b70b00027e45e739ab7f4b0324,L0371,6.5 / Peroxisomes: Oxidation,,,教材於Peroxisomes: Oxidation直接說明將有毒H2O2轉成水的酵素，最小條目可定位其解毒反應。,藥草抗衰老僅作研究指標情境，不另列植物或端粒。,D；catalase總反應為2H2O2→2H2O+O2，兼有氧化與還原。原題僅寫還原為水屬簡化，SOD處理的是superoxide。,112,161,371,36,S10,CMU-115-R2-Q29
CMU-115-Q30,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,6,1,,questions/Q30.png,1eac4d8eb437800ccc4b7cefc31154c25140d8d117e8cb9e39fa9f9d9de04875,L1113,18.1 / Positive Gene Regulation,L1110,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation,題目要求lac高表現的CAP/CRP正調控與乳糖解除抑制協同，主列Positive Gene Regulation。,Repressible and Inducible Operons保留allolactose使抑制子離開operator的必要條件。,D；葡萄糖低→cAMP–CRP活化，加上allolactose解除lac抑制，才有高量轉錄。,"368,369,370","417,418,419","1113,1110",39,,CMU-115-R2-Q30
CMU-115-Q31,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,6,1,,questions/Q31.png,41062588393de26cd649f46d2d1485d6c37d5598be1ab455ca0ce90dfc6e7040,L1113,18.1 / Positive Gene Regulation,L1110,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation,CRP不能結合DNA直接造成lac缺乏正調控，主列Positive Gene Regulation。,trp在缺乏色胺酸時解除可抑制型操縱子抑制，需共同引用負調控條目。,C；lac只有低量轉錄，trp因缺少共抑制物而活化。題幹的CRP結合啟動子採鄰近調控區理解，不與RNA聚合酶的核心啟動子位混同。,"368,369,370","417,418,419","1113,1110",39,,CMU-115-R2-Q31
CMU-115-Q32,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,7,1,,questions/Q32.png,2d7ffdd370caec192699dc76a0a7e9eb573cb0c027e3ac5c89bf9bc796bebfda,L0792,12.3 / Loss of Cell Cycle Controls in Cancer Cells,L1126,18.2 / Regulation of Transcription Initiation,問題問阻斷HIF後腫瘤供氧與生長受限；Loss of Cell Cycle Controls in Cancer Cells的p249正文敘述腫瘤可刺激血管生長以取得營養。,18.2轉錄起始調控支援HIF驅動VEGF表現；HIF分子細節由原始研究補足。,D；抑制HIF降低VEGF及血管新生，腫瘤氧與營養供應下降。不是直接阻斷DNA聚合酶或活化端粒酶。,"248,249,373,374","297,298,422,423","792,1126","38,39",S11,CMU-115-R2-Q32
CMU-115-Q33,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,7,1,,questions/Q33.png,cfb5c7ad62579eb0c164d2179c8f4cd8087aaed73647936775638d68a67b5792,L0349,6.4 / Lysosomes: Digestive Compartments,L0478,8.1 / Metabolic Pathways,自噬以溶體降解自身胞內物並回收成分，最小目錄Lysosomes: Digestive Compartments。,8.1 Metabolic Pathways支援分解代謝提供可再用中間物的能量方向，非高合成代謝。,D；營養缺乏時自噬可支援存活；AMPK/mTOR題幹是上游訊號，不能取代本題實際問的降解回收策略。,"107,108,144","156,157,193","349,478","36,37",S12,CMU-115-R2-Q33
CMU-115-Q34,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,7,1,,questions/Q34.png,e4f71b81b7962b0d1779e329986659ea9c624e8ad24beb4d60f8cc8d7e0456a3,L2896,43.3 / Helper T Cells: Activating Adaptive Immunity,L2889,43.2 / B Cell and T Cell Development,B與T協同失敗屬Helper T Cells: Activating Adaptive Immunity，較泛列免疫缺陷更具機制特異性。,B Cell and T Cell Development補充克隆擴增及免疫記憶；類別轉換／生發中心細節由原始研究補足。,C；輔助T與B互動對生發中心、抗體類別轉換和持久記憶必要，與題示先天反應正常相符。,"960,961,962,963,964","1009,1010,1011,1012,1013","2896,2889",47,S13,CMU-115-R2-Q34
CMU-115-Q35,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,7,1,,questions/Q35.png,4155be4823b9877a08f03fc6c2cd9df4bc14a213f7d7dbcd379fc75d6bce1174,L2930,43.4 / Cancer and Immunity,,,核心是免疫系統對癌細胞的防禦，故採Cancer and Immunity。該頁正文以病毒相關癌症為例，未講解PD-1檢查點治療；治療的分子機制須由原始研究補足。,受體作用是治療入口；本題問恢復免疫毒殺，無需另列訊號章。,B；檢查點抑制療法解除抑制，恢復T細胞對腫瘤的攻擊，而非抗體直接毒殺。,"974,975","1023,1024",2930,47,S15,CMU-115-R2-Q35
CMU-115-Q36,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,7,1,,questions/Q36.png,92e3610f8349ad5a93ac6271745052200c99a625ecfa2b725a1dfedf431ccb6c,L0708,11.2 / Receptors in the Plasma Membrane,,,HER2被明示屬RTK，核心是二聚體與相互磷酸化，目錄最小項Receptors in the Plasma Membrane。,乳癌僅是RTK過度活化的情境，不將癌症章列主分類。,A；RTK二聚化並交互磷酸化胞內酪胺酸，提供下游訊號蛋白結合位置。,"217,218,219","266,267,268",708,38,,CMU-115-R2-Q36
CMU-115-Q37,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,8,1,,questions/Q37.png,91114cec58775aef2eba38328cf01555a08f38333435b43caeabb568e2dacc0d,L2870,43.1 / Innate Immunity of Vertebrates,,,病毒dsRNA辨識與interferon誘發鄰近細胞抗病毒狀態，屬Innate Immunity of Vertebrates。,不是免疫記憶或一般病毒生活史問題，無次分類。,A；干擾素可誘發抗病毒蛋白並限制病毒複製。此題未要求抗體產生。,"954,955,956","1003,1004,1005",2870,47,,CMU-115-R2-Q37
CMU-115-Q38,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,8,1,,questions/Q38.png,a0d1b07347ee85d16f588a69835536c38f9189a93f35f7f362836c97aa9a1988,L0110,2.2 / Isotopes,,,關鍵是以標記尿素追蹤其碳進入呼出CO2，主列Isotopes及其代謝示蹤應用。,胃炎與細菌名稱是檢測情境；不把胃部構造或DNA檢測列主分類。,B；H. pylori urease分解標記尿素後產生可在呼氣測得的標記CO2。可用穩定13C或放射14C；不可泛稱此檢驗必為放射性。,"31,32","80,81",110,35,S14,CMU-115-R2-Q38
CMU-115-Q39,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,8,1,,questions/Q39.png,ffa11e7a884c84584119cbb76166f3590db6348f22a2595f84ecfceb78b2c74d,L1085,17.5 / Types of Small-Scale Mutations,L1274,20.4 / Medical Applications,SNP改變胺基酸並降低酵素功能，主列Types of Small-Scale Mutations。,20.4 Medical Applications涵蓋個體基因差異與醫學應用，補充藥物反應差異情境。,A；本題最適合的是改變胺基酸造成代謝能力降低；不是所有SNP都一定改變胺基酸，結論限於此題四選項。,"357,358,433,434","406,407,482,483","1085,1274","39,40",,CMU-115-R2-Q39
CMU-115-Q40,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,8,1,,questions/Q40.png,7aa4acc0a76542a5c077fb505ece65f3128f7b5d018c6cfa075f9439de249bf1,L1136,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs,,,miRNA配對目標mRNA抑制轉譯及促進降解，精確對應Effects on mRNAs by MicroRNAs and Small Interfering RNAs。,不把PTEN癌症背景或3′UTR誤列為DNA轉錄、剪接主分類。,C；蛋白下降遠大於mRNA下降支持以轉譯抑制為主，亦可伴隨mRNA去腺苷酸化及降解。,"379,380","428,429",1136,39,,CMU-115-R2-Q40
CMU-115-Q41,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,8,1,,questions/Q41.png,16cc7d40bce7b262204c140539fc29686e1137426bac30706bb1b3a1b48ee37e,L3611,54.2 / Species Diversity,,,物種豐富度與相對豐度的區別直接位於Species Diversity。,物種數屬群落層次，不是族群密度或總生物量。,A；兩群落均10種故豐富度相同，但均勻度不同。,"1222,1223","1271,1272",3611,50,,CMU-115-R2-Q41
CMU-115-Q42,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,9,1,,questions/Q42.png,25dc1bb91f3fd20774f119697e172ce514785239193e79fe21defd45b28f74de,L3689,55.2 / Primary Production in Aquatic Ecosystems,,,營養鹽增加造成優養化，藻類死亡後分解耗氧的機制直接位於Primary Production in Aquatic Ecosystems。,不將毒素、魚鰓損害或陸域肥料利用當主因，亦不重複計分解一般章。,D；分解者耗用溶氧引起魚類缺氧，不是單純藻類遮光或必然產毒。,"1242,1243","1291,1292",3689,50,,CMU-115-R2-Q42
CMU-115-Q43,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,9,1,,questions/Q43.png,71f20d62a4fd8f0ed6ba21a5aca5f8f8133a93179233d1a036b3b338bf3aeef3,L3424,51.2 / Learning,,,敏感期形成、長期穩定的imprinting屬Learning下的具體類型。,不可自造Imprinting為目錄條目，也不因敏感期而歸為胚胎發育。,C；早期印痕學習具敏感期與持久效果。,"1144,1145","1193,1194",3424,"48,49",,CMU-115-R2-Q43
