題號,分類狀態,待審,原答案,依已取得來源採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-106-Q16,FORMAL,False,A,A,維持原答案A,4,4,1,8,questions/Q16.png,2fc371fdf7acda29794416f693c12da2996f3464f9f873da68c14f3b318bc96e,L0908,14.4 / Pedigree Analysis,"L0914,L0911,L0945",14.4 / Dominantly Inherited Disorders ; 14.4 / Recessively Inherited Disorders ; 15.2 / Inheritance of X-Linked Genes,14.4 / Pedigree Analysis：必須依家系圖親子關係及性別逐一排除模式，主分類為家系分析。,14.4 / Dominantly Inherited Disorders：體染色體顯性模式為原答案；14.4 / Recessively Inherited Disorders：隱性帶因可構造符合圖的反例；15.2 / Inheritance of X-Linked Genes：X連鎖傳遞限制用來檢查兩個性聯選項,原表及釋疑A（體染色體顯性）。依完全外顯、無新突變的簡單單基因模型，圖也可由體染色體隱性解釋：第一代健康母為Aa、患病父aa，患病女兒aa與健康帶因夫Aa可生患病女兒及健康兒子。原題未給外婚者非帶因或等位基因稀有等前提，公告「只有顯性吻合」不具唯一性。X顯性被患病父的健康女兒排除；X隱性被患病母與健康父的患病女兒及健康兒子排除。官方A與模型反例分開保存，不自訂新官方採計。,"284,285,286,287,299,300","333,334,335,336,348,349",Codex /root,TCU-106-R2-Q16
TCU-106-Q17,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q17.png,f82909c2a1bb6182ed917e538d42088e47ad07a941055e9ef2390c031b3d8381,L3424,51.2 / Learning,,,51.2 / Learning：鮭魚記住出生水域訊號再回游屬印痕學習，實際最小目錄為Learning。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表D。鮭魚在發育敏感期形成出生水域氣味的長期記憶，是imprinting例子；回游還涉及導航，但不以一般習慣化、操作制約替代敏感期的學習。Imprinting是正文小標，未偽造為目錄條目。,"1144,1145,1146,1147","1193,1194,1195,1196",Codex /root,TCU-106-R2-Q17
TCU-106-Q18,FORMAL,False,C,C,維持原答案C,4,4,1,8,questions/Q18.png,ebcbdedba10eb922ee62a31f85c6df83e45e991fa43bf1dcbbf13f4796e5e13f,L1218,19.3 / Viral Diseases in Plants,L1202,19.2 / Replicative Cycles of Animal Viruses,19.3 / Viral Diseases in Plants：正確選項是植物病毒經胞間連絲細胞間傳播。,19.2 / Replicative Cycles of Animal Viruses：以動物病毒核酸、包膜及複製模式檢查其他選項,原表及釋疑C。植物病毒可藉胞間連絲傳播，病毒移動蛋白可促進通行。HIV是RNA逆轉錄病毒，herpesvirus為DNA病毒；包膜融合與基因組整合不是同一事件。教材說多數植物病毒病尚無治癒方式，不擴大成所有植物病毒在任何技術下都絕無處理方式。,"404,405,406,412,413","453,454,455,461,462",Codex /root,TCU-106-R2-Q18
TCU-106-Q19,FORMAL,False,A,A,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q19.png,d328d5374c296c37d4e11fcb52b0b590df1a89b17e63c1f5aa8269c24cfb50c2,L1678,26.4 / Genome Evolution,"L1359,L1992",21.6 / Comparing Genomes ; 31.3 / The Move to Land,26.4 / Genome Evolution：以不同基因組演化速率決定親緣分析尺度，直接對應基因組演化。,21.6 / Comparing Genomes：比較人與鼠的基因組共同性；31.3 / The Move to Land：真菌登陸時序是另一選項的演化證據,原表A。教材以相對快速演化的mtDNA研究較近期事件，與A的慢速／遠緣用途相反；不能推廣為所有生物的mtDNA一律快於核DNA。原圖B為人鼠「至少90% homologous genes」；教材的99% orthologous在此下限之內，但同源性及直系同源需分清，不把同源基因比例改寫成全基因組序列一致率。教材659–660說真菌可能早於植物登陸；題目D說得較確定，此證據強度差異另列。,"459,460,461,565,566,659,660","508,509,510,614,615,708,709",Codex /root,TCU-106-R2-Q19
TCU-106-Q20,FORMAL,False,B,B,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q20.png,2e162da4f236a56e6cdb93e57e80202acff3e645d879021d46087a7a81fe1e04,L1989,31.3 / The Origin of Fungi,"L2018,L2024",31.5 / Fungi as Decomposers ; 31.5 / Practical Uses of Fungi,31.3 / The Origin of Fungi：真菌與動物的共同祖先較近，決策核心為真菌起源與親緣。,31.5 / Fungi as Decomposers：分解者生態作用；31.5 / Practical Uses of Fungi：青黴素、乳酪等實際利用,原表B。真菌與動物親緣比與植物近；不是因不移動、具細胞壁就歸為植物近親。真菌的分解作用及食品、藥物利用均可成立。,"659,660,667,670","708,709,716,719",Codex /root,TCU-106-R2-Q20
TCU-106-Q21,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q21.png,37f4149211da825177f0b9e973705e23e849442a6b119bd4815339aeaf89b196,L2733,41.4 / Mutualistic Adaptations,L2730,41.4 / Stomach and Intestinal Adaptations,41.4 / Mutualistic Adaptations：考拉以共生微生物處理纖維素，主分類是互利適應。,41.4 / Stomach and Intestinal Adaptations：比較草食動物胃與腸道及盲腸的構造差異,原表C。考拉的共生微生物主要位於大的盲腸，屬後腸發酵，不能說以特別大的胃裝微生物消化纖維素。教材也畫出相對較長腸道；不把考拉套成反芻動物四室胃。,"912,913,914","961,962,963",Codex /root,TCU-106-R2-Q21
TCU-106-Q22,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q22.png,f343f028f2c69c290b0e16d203dff06b7f085adff219409a06ac550c81fb3dee,L1709,27.1 / Cell-Surface Structures,L1069,17.4 / Molecular Components of Translation,27.1 / Cell-Surface Structures：Ampicillin的作用點為細菌細胞壁，與題目錯寫的細胞膜區分。,17.4 / Molecular Components of Translation：其他選項抗生素透過細菌核糖體干擾轉譯,原表D。Ampicillin抑制細胞壁肽聚醣合成，非細胞膜合成；原圖C寫「干擾基因轉譯作用」，屬核糖體蛋白合成機制，不能誤讀為轉錄後製造多解。Tetracycline與chloramphenicol須按原選項的轉譯層次解讀。,"349,350,351,352,353,354,355,574,575,588,589","398,399,400,401,402,403,404,623,624,637,638",Codex /root,TCU-106-R2-Q22
TCU-106-Q23,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q23.png,6cb7429af5c13dc74ffad044910707d7a3993e6af9badbc152364707d8a995e3,L0239,5.2 / Sugars,L3371,50.4 / Taste in Mammals,5.2 / Sugars：辨認糖類中的蔗糖作為甜度比較物，主分類為Sugars。,50.4 / Taste in Mammals：感覺甜度量測屬哺乳類味覺背景,原表C。蔗糖常作相對甜度的參照物；不因果糖較甜就把標準改成果糖。Campbell支持糖類結構與味覺機制，實驗量測採蔗糖參照的具體慣例另查研究方法；相對甜度仍隨濃度、溫度與測試設計而變。,"68,69,1123,1124","117,118,1172,1173",Codex /root,TCU-106-R2-Q23
TCU-106-Q24,FORMAL,False,D,D,維持原答案D,5,5,1,8,questions/Q24.png,4126fc5d43ebd5693d3d9fb3316b3bbd001c284867311e7ccf7e87a63bca3fa7,L2596,39.5 / Defenses Against Pathogens,"L2599,L2557",39.5 / Defenses Against Herbivores ; 39.2 / A Survey of Plant Hormones,39.5 / Defenses Against Pathogens：植物對病原的防禦、SA與系統性獲得抗性是主要判讀內容。,39.5 / Defenses Against Herbivores：Jasmonate誘發抗草食性防禦及蛋白酶抑制劑；39.2 / A Survey of Plant Hormones：植物激素的整體訊息功能,原表及釋疑D。公告以SAR可對多類病原提升防禦說明D「種的專一性」不恰當；但教材同時有PAMP與效應子辨識，不能推論植物完全沒有分子辨識專一性。SA與jasmonate涉及不同但交互作用的防禦路徑；本題保留其概括措辭與科學範圍。,"847,848,849,853,854,866,867,868","896,897,898,902,903,915,916,917",Codex /root,TCU-106-R2-Q24
TCU-106-Q25,FORMAL,False,C,C,維持原答案C,5,5,1,9,questions/Q25.png,c73fb487ea5effc61d0f48932cd5c5046ce36f6ceed3f61bbf8cb95ba2a940c0,L0665,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar,,,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar：Rubisco固定CO2後產生3-PGA，完整概念10.4在目錄下無更細葉條目。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表及釋疑C。RuBP的5個碳加CO2的1個碳，先成短命6碳中間物，立即裂成兩個3-PGA；原題只問產物，未寫「第一個穩定」；選項中的直接穩定產物是3-PGA，不是後續還原出的G3P。碳數獨立核算5+1=2×3。,"201,202,203","250,251,252",Codex /root,TCU-106-R2-Q25
TCU-106-Q26,FORMAL,False,A,A,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q26.png,bf8fb1b3cfc128e78128f72fbbd6b6e1df705afd186688369974a8d99689425f,L3293,49.4 / Memory and Learning,L3290,49.4 / Neuronal Plasticity,49.4 / Memory and Learning：海馬迴參與記憶形成與由短期轉長期的過程。,49.4 / Neuronal Plasticity：突觸可塑性提供學習記憶的細胞機制,原表A。相較其他列出的部位，海馬迴最直接對應教材短期記憶及建立長期記憶的脈絡；長期記憶內容分布於大腦皮質。不能概括所有工作記憶或所有記憶型態都只在海馬迴。,"1099,1100,1101","1148,1149,1150",Codex /root,TCU-106-R2-Q26
TCU-106-Q27,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,5,5,1,,questions/Q27.png,608aafa137f05ea7d8582d60813a34ae60941149cc3aa4edf17627f876674cdb,L2802,42.4 / Blood Composition and Function,L2685,41.1 / Essential Nutrients,42.4 / Blood Composition and Function：凝血需要血小板、血漿蛋白及受損血管訊號，屬血液組成與功能。,41.1 / Essential Nutrients：維生素K與正常凝血所需營養相關,原表D。受傷血管暴露的蛋白吸引血小板並啟動凝血級聯；紅血球不是選項所述的主要啟動細胞。Prothrombin轉成thrombin，再使fibrinogen形成fibrin；維生素K參與正常凝血因子的生成，不能把它寫成每一步凝血反應的直接催化劑。,"900,934,935,936,937","949,983,984,985,986",Codex /root,TCU-106-R2-Q27
TCU-106-Q28,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q28.png,7e36dc519f7c2b35f3c25890a77b45737a129629016f71a57fc449f57027981a,L3381,50.5 / Vertebrate Skeletal Muscle,,,50.5 / Vertebrate Skeletal Muscle：比較骨骼肌纖維型態、代謝、收縮速度與SR。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表D。教材印刷1131直接說slow fiber的肌漿網較少、回收Ca2+較慢。慢肌通常有較多粒線體及肌紅蛋白；快肌可分氧化型與糖解型，收縮速度和供能方式不是完全一對一。,"1126,1127,1128,1129,1130,1131","1175,1176,1177,1178,1179,1180",Codex /root,TCU-106-R2-Q28
TCU-106-Q29,FORMAL,False,A,A,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q29.png,82981b96369b359846d5022eaad46b383621f39bc55254ff4ea55f8d1f49beeb,L3351,50.2 / Hearing and Equilibrium in Mammals,,,50.2 / Hearing and Equilibrium in Mammals：基底膜傳遞聽覺，前庭與半規管維持平衡，均屬哺乳類聽覺和平衡。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表A。Basilar membrane位於耳蝸並參與頻率辨識，非平衡器官；橢圓囊、半規管及其中毛細胞與平衡有關。不能因耳蝸及前庭都在內耳，就混用兩者功能。,"1112,1113,1114,1115,1116","1161,1162,1163,1164,1165",Codex /root,TCU-106-R2-Q29
TCU-106-Q30,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q30.png,2f3c51016edcd8bf7af2a16c23f09480bc18df372993f58352ca890844b0eab9,L3391,50.6 / Types of Skeletal Systems,L2623,40.1 / Hierarchical Organization of Body Plans,50.6 / Types of Skeletal Systems：骨骼的重塑與破骨／造骨細胞功能位於骨骼系統類型的正文。,40.1 / Hierarchical Organization of Body Plans：結締組織的細胞及細胞外基質補足骨組織層次,原表D。Osteoclast吸收骨基質與礦物成分，與osteoblast造骨相對；不能定義為吞食骨細胞。骨質疏鬆涉及骨吸收與形成失衡。A若把「都是間質細胞分化」套到全部骨組織細胞，亦不精確：造骨細胞／軟骨細胞為間質系，但破骨細胞源自造血單核球系；C骨膜可供肌腱韌帶附著。原答案D仍照存，不掩蓋A的概括範圍。,"877,878,1132,1133,1134,1135","926,927,1181,1182,1183,1184",Codex /root,TCU-106-R2-Q30
TCU-106-Q31,FORMAL,False,B,B,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,6,6,1,,questions/Q31.png,b51807830f7e3e973c9fa5127dd8cecdc2212f3a2293a443bf4e25f230e37497,L3209,48.3 / Generation of Action Potentials: A Closer Look,L3206,48.3 / Graded Potentials and Action Potentials,48.3 / Generation of Action Potentials: A Closer Look：閾值後電壓閘控Na+通道引起動作電位上升相。,48.3 / Graded Potentials and Action Potentials：區別起始刺激引起的漸變電位與全或無動作電位,原表B。動作電位的再生性去極化由電壓閘控Na+通道開啟；K+通道開啟較晚使再極化。原題「受刺激首先」以啟動動作電位為範圍；若指化學突觸的最早反應，配體閘控受器可先產生漸變電位，不混為同一時間點。,"1072,1073,1074,1075","1121,1122,1123,1124",Codex /root,TCU-106-R2-Q31
